id,title,author,description,publishDate,deliveryDate,price,status

1,Война и мир,Лев Толстой,Эпический роман о русском обществе и войне 1812 года,1869-01-01,1200.50,AVAILABLE
2,Преступление и наказание,Фёдор Достоевский,Роман о молодом студенте; совершившем убийство,1866-01-01,950.00,AVAILABLE
3,Мастер и Маргарита,Михаил Булгаков,Роман о дьяволе; пришедшем в советскую Москву,1967-01-01,1100.75,OUT_OF_STOCK
4,Евгений Онегин,Александр Пушкин,Роман в стихах,1833-01-01,750.25,AVAILABLE
5,Герой нашего времени,Михаил Лермонтов,Роман; состоящий из нескольких повестей,1840-01-01,680.00,OUT_OF_STOCK
6,Анна Каренина,Лев Толстой,Роман о жизни русского дворянства,1878-01-01,1050.00,AVAILABLE
7,Братья Карамазовы,Фёдор Достоевский,Философский роман о вере; морали и семье,1880-01-01,1300.00,AVAILABLE
8,1984,Джордж Оруэлл,Антиутопия о тоталитарном государстве,1949-06-08,850.50,AVAILABLE
9,Убить пересмешника,Харпер Ли,Роман о расизме и предрассудках в южном США,1960-07-11,900.00,AVAILABLE
10,Великий Гэтсби,Фрэнсис Скотт Фицджеральд,Роман о жизни и любви в эпоху джаза,1925-04-10,800.25,OUT_OF_STOCK
